created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Jul 12 23:58:39 +0000 2023,1679279133787041792,@Ganjaran_app @ganjarpranowo Lanjutkan perjuangan mu pak ganjar,0,0,0,0,in,1658012120699793408,1679113378365845504,AndraRa58966473,https://twitter.com/AndraRa58966473/status/1679279133787041792
Wed Jul 12 23:57:40 +0000 2023,1679278887279431680,Ganjar Copot Kepala SMKN 1 Sale Rembang Buntut Pungli Berkedok Infak  Kang @ridwankamil bgmn Jawa Barat? Rasanya sdh sering dikirimin laporan olh Bang @emerson_yuntho deh tp cicing wae. Sbnarnya SMAN gratis atau bayar? Sidaklah ke SMA negeri di Bogor. https://t.co/HFzxRElHiX,1,1,13,9,in,1308817261684092929,1679278887279431680,kevynsaverio,https://twitter.com/kevynsaverio/status/1679278887279431680
Wed Jul 12 23:57:17 +0000 2023,1679278789061406720,@Ganjaran_app @ganjarpranowo Kepedulian pak ganjar memang luar biasa,0,0,0,0,in,1658017027968352256,1679113378365845504,FaradibaAs38996,https://twitter.com/FaradibaAs38996/status/1679278789061406720
Wed Jul 12 23:56:45 +0000 2023,1679278653442785280,@Ganjaran_app @ganjarpranowo Pak ganjar memang pemimpin yang sangat merakyat,0,0,0,0,in,1658016462576168960,1679113378365845504,WahyuRamad49539,https://twitter.com/WahyuRamad49539/status/1679278653442785280
Wed Jul 12 23:55:54 +0000 2023,1679278440401481728,@Ganjaran_app @ganjarpranowo Masalah yang ada di masyarakat pasti akan teratasi bersama pak ganjar,0,0,0,0,in,1658054424030490626,1679113378365845504,anandasyifa136,https://twitter.com/anandasyifa136/status/1679278440401481728
Wed Jul 12 23:54:31 +0000 2023,1679278092685283328,@Gus_Raharjo Ganjar Bicara Bahasa inggris Saja Plonga Plongo Bagaimana Mau DiPlomasi DiDunia internasional 😅😅,0,2,0,17,in,1211292991337332736,1679033610693935109,IlhamsetiawanK1,https://twitter.com/IlhamsetiawanK1/status/1679278092685283328
Wed Jul 12 23:54:21 +0000 2023,1679278052763897856,@Ganjaran_app @ganjarpranowo Berdiskusi bersama pak ganjar bisa melepaskan rasa legah karena keluhan rakyat selalu bisa di atasi oleh pak ganjar,0,0,0,0,in,1658009710342332417,1679113378365845504,segii1509,https://twitter.com/segii1509/status/1679278052763897856
Wed Jul 12 23:53:27 +0000 2023,1679277825956941824,@ChantiqueTiyara @ganjarpranowo @B1nt4ng_K1r4r4 @FirzaHusainID @hansssolo @Gus_Raharjo @KikiDaliyo @Nikmatul_Sg @TJHoois @MurtadhaOne Pak Ganjar keren,0,0,0,3,in,1155017139671031809,1679084630358765568,Eil_Thia,https://twitter.com/Eil_Thia/status/1679277825956941824
Wed Jul 12 23:52:13 +0000 2023,1679277515700064257,Ganjar Menginspirasi Banyak Generasi Muda Indonesia #Papuabarat #Papuabaratdaya #Ganjarpranowopapuabarat #Ganjarpranowopapuabaratdaya #Ganjarpranowopresidenku https://t.co/oMrdKTNwY1,0,0,0,0,in,1488464918550818819,1679277509962235906,yanaseptiana90,https://twitter.com/yanaseptiana90/status/1679277515700064257
Wed Jul 12 23:52:13 +0000 2023,1679277512726294529,Dukung Ganjar Menjadikan Indonesia Menjadi Lebih Baik #dukungganjar #Papuabarat #Papuabaratdaya #Ganjarpranowopapuabarat #Ganjarpranowopapuabaratdaya #Ganjarpranowopresidenku https://t.co/Nst0RNJNCR,0,1,0,0,in,1488464918550818819,1679277509962235906,yanaseptiana90,https://twitter.com/yanaseptiana90/status/1679277512726294529
Wed Jul 12 23:52:12 +0000 2023,1679277509962235906,Ganjar Adalah Sosok Yg Di Butuhkan Indonesia #Papuabarat #Papuabaratdaya #Ganjarpranowopapuabarat #Ganjarpranowopapuabaratdaya #Ganjarpranowopresidenku https://t.co/pvsTaxCevy,0,1,0,0,in,1488464918550818819,1679277509962235906,yanaseptiana90,https://twitter.com/yanaseptiana90/status/1679277509962235906
Wed Jul 12 23:52:06 +0000 2023,1679277486730002432,Erick Thohir Berpotensi Geser Sandiaga Uno sebagai Cawapres Ganjar https://t.co/DERnW64OCs,0,2,24,27,in,887743587579944960,1679277486730002432,OposisiCerdas,https://twitter.com/OposisiCerdas/status/1679277486730002432
Wed Jul 12 23:51:53 +0000 2023,1679277428202672128,Ganjar Pranowo Pemimpin Terbaik #GanjarCapres https://t.co/m4v74FIuuS,0,0,0,0,in,2148864200,1679277428202672128,bagasbogenk,https://twitter.com/bagasbogenk/status/1679277428202672128
Wed Jul 12 23:51:45 +0000 2023,1679277395159953408,@Dennysiregar7 Pak ganjar emg ganteng cuco meong,0,0,0,0,in,953797574556729345,1678984246587949056,jennifer_xixi,https://twitter.com/jennifer_xixi/status/1679277395159953408
