created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon May 22 23:46:12 +0000 2023,1660794217843793920,"Dari hasil survei Polstat, dipasangkan dengan siapa pun @ridwankamil  tetap sosok yang menarik perhatian massa Capresnya.  Nama Ridwan Kamil selalu berada di papan atas, baik dipasangkan dengan Prabowo Subianto, Ganjar Pranowo maupun Anies Baswedan. https://t.co/BJH6iNvH5l",0,0,0,0,in,1530875157245374464,1660794217843793920,AdietRahmayadi,https://twitter.com/AdietRahmayadi/status/1660794217843793920
Mon May 22 23:45:56 +0000 2023,1660794153628995584,"@midris_sofyan @datuakrajoangek Kayanya ga perlu nunggu ke 7, 2024 menang. Cuma perlu lolos ke putaran 2, misal vs Ganjar maka suara Anies akan cenderung je Prabowo.",0,0,0,0,in,1297104762039500801,1653267068106702850,IndoSentiment,https://twitter.com/IndoSentiment/status/1660794153628995584
Mon May 22 23:45:24 +0000 2023,1660794019495174144,"@Anak__Ogi Prabowo memang hrs masuk dari anK2 muda yg mungkin tidak tahu peristiwa 98 atau team mawarnya prabowo. Perilaku yg mirip2 sama mertuanya ... prabowo sendiri akan kena ssma fpi mui, lah anaknya aja pelaku lgbt.",0,0,0,1,in,151346784,1660615155976404992,raja_pasar,https://twitter.com/raja_pasar/status/1660794019495174144
Mon May 22 23:45:22 +0000 2023,1660794009865060356,Prabowo mengatakan Indonesia menganut Sistem Pertahanan Rakyat Semesta yang memerlukan totalitas dan kemanunggalan TNI dengan rakyat. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo,0,0,0,0,in,1635855110948683776,1660794009865060356,reifeiza,https://twitter.com/reifeiza/status/1660794009865060356
Mon May 22 23:44:05 +0000 2023,1660793687281111040,Prabowo sempat mengajak mereka ngobrol satu per satu. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo,0,0,0,0,in,1635553892036644867,1660793687281111040,reginaoctav21,https://twitter.com/reginaoctav21/status/1660793687281111040
Mon May 22 23:44:01 +0000 2023,1660793669094617089,"harapan saya... semoga presiden 2024 nanti mampu mengatasi polusi udara PLN saat ini, setidaknya biar say bisa olahraga di luar ruang.... cc pak @aniesbaswedan , pak @ganjarpranowo  dan Pak @prabowo  ... saya pemilih pemula ini pak.... Bukan karena usia...",0,0,0,0,in,19223320,1660793669094617089,setelahkamu,https://twitter.com/setelahkamu/status/1660793669094617089
Mon May 22 23:43:47 +0000 2023,1660793612635111424,"Usai bersalaman warga, Menhan Prabowo menuju halaman Koramil di mana puluhan pasukan TNI telah berbaris menunggu kedatangannya. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo",0,0,0,0,in,1635538928148299776,1660793612635111424,amaliazak,https://twitter.com/amaliazak/status/1660793612635111424
Mon May 22 23:43:47 +0000 2023,1660793611041259520,"@dhemit_is_back Kemaren liat podcastnya Panda Nababan, Prabowo udah lapor ke Jokowi bahwa ada markup sampe 400% di Kemenhan. Namun Jokowi tidak bereaksi, ada apa gerangan?",0,0,0,1,in,32334648,1660634189216247808,ozzy_sebastian_,https://twitter.com/ozzy_sebastian_/status/1660793611041259520
Mon May 22 23:42:26 +0000 2023,1660793269239058434,@kartarahardja Progam pak Prabowo yang diangkat bukan serang dengan cara tidak baik...,0,1,0,1,in,1149131056676626432,1660439993284964352,Sintoes_Degano5,https://twitter.com/Sintoes_Degano5/status/1660793269239058434
Mon May 22 23:41:43 +0000 2023,1660793088561004544,Emak-emak Teriak 'I Love You' saat Prabowo Tiba di Tanah Kelahiran SBY. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo,0,0,0,0,in,1635517023689244672,1660793088561004544,dessyzav,https://twitter.com/dessyzav/status/1660793088561004544
Mon May 22 23:41:37 +0000 2023,1660793064129167360,"@Redgerbil5 @BosPurwa @prabowo @ganjarpranowo berpikiran positif,,yg penting ada daya dukung yg bagus,,Bpjs,,sekolah gratis,tranportasi ,jln terhubung,,perumahan ,kebutuhan 9pokok terjaga,,..lihat waktu covid...jgn remehin turis lokal,,lihat disemarang,solo,purworejo,kebumen.yg gerakin ekonomi ..budaya kok menjual lah njuul",0,1,0,0,in,1260125974571610112,1660276483552874496,Heripurwanto26,https://twitter.com/Heripurwanto26/status/1660793064129167360
Mon May 22 23:41:14 +0000 2023,1660792967827963904,"@AirinDatangLagi @prabowo Kita ini dilema bgt dlm pilpres tahun depan , pilihan nya begitu2saja",0,0,0,0,in,703768085958893570,1659940551867748352,antontanjaya15,https://twitter.com/antontanjaya15/status/1660792967827963904
Mon May 22 23:41:07 +0000 2023,1660792938430103552,"Malam ini telah hadir Menteri Pertahanan Pak Prabowo Subianto,"" kata Mulan. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo""",0,0,0,0,in,1635502924922245121,1660792938430103552,salsabilalika1,https://twitter.com/salsabilalika1/status/1660792938430103552
Mon May 22 23:40:20 +0000 2023,1660792743889866753,"Konser Dewa 19 di Surabaya Dihadiri Prabowo, Ahmad Dhani Nyanyikan Lagu Ini. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo",0,0,0,0,in,1634019214897053698,1660792743889866753,deva_ardina,https://twitter.com/deva_ardina/status/1660792743889866753
Mon May 22 23:40:01 +0000 2023,1660792662851719168,"Diprediksi Bakal Dukung Penuh Prabowo Subianto di 2024, Rocky Gerung Sebut Jokowi Terluka Direndahkan Megawati https://t.co/cTVwQ93m5c",0,0,0,1,in,30617522,1660792662851719168,WartaEkonomi,https://twitter.com/WartaEkonomi/status/1660792662851719168
Mon May 22 23:39:38 +0000 2023,1660792567158669313,"Selain dua hal itu, Hashim juga menyebut Prabowo bukan petugas partai, melainkan petugas rakyat Indonesia. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo",0,0,0,0,in,1634037956293070848,1660792567158669313,miftah_putria,https://twitter.com/miftah_putria/status/1660792567158669313
Mon May 22 23:38:25 +0000 2023,1660792259468726274,@zhuLL_Thomadio @msaid_didu @aniesbaswedan Benar juga ya....diantara ke 3 capres...yang tidak pernah nyiyirin lawannya ya prabowo dan ganjar... Apakah berarti mereka lebih dewasa dalam berpolitik?,0,0,0,0,in,1079742325398499329,1660655776950636550,mr6906552664,https://twitter.com/mr6906552664/status/1660792259468726274
Mon May 22 23:38:19 +0000 2023,1660792233602453505,@prabowo Itu Kelasnya Cawapres Bukan Capres  ...   Itupun Gagal Mulu ....     Jangankan Persiden .        Wapres Saja Gagal ?        Selagi @fadlizon Masih Di Piara Gerindra Jangan Harap @prabowo Bisa Persiden ? https://t.co/ZFRL3v2WTy,0,0,0,0,in,1609829873396363264,1660792233602453505,JJhonpres,https://twitter.com/JJhonpres/status/1660792233602453505
Mon May 22 23:37:06 +0000 2023,1660791929691598849,3 Survei Terbaru Capres 2024: Prabowo VS Ganjar VS Anies - Head Topics #Prabowo #PrabowoUnggul https://t.co/gS3ofOuh0l,0,0,0,0,in,1110932693426954240,1660791929691598849,fathw25,https://twitter.com/fathw25/status/1660791929691598849
Mon May 22 23:37:06 +0000 2023,1660791927892226048,"Wacana Duetkan Prabowo-Gibran, Gerindra: Perlu Ada Pemikiran dan Kajian Serius - https://t.co/ew5SRuc3Mg #Prabowo #BangkitBersama https://t.co/ocSyvsXBnP",0,0,1,0,in,465423257,1660791927892226048,haelamarie,https://twitter.com/haelamarie/status/1660791927892226048
Mon May 22 23:37:05 +0000 2023,1660791922552881152,"BERITA FOTO: Gibran Bertemu Prabowo di Solo, DPP PDI-P Tak ... - Nasional https://t.co/5LpIx3OvE1 #Prabowo #PrabowoUnggul https://t.co/bSJpqENSut",0,0,0,0,in,1110932693426954240,1660791922552881152,fathw25,https://twitter.com/fathw25/status/1660791922552881152
Mon May 22 23:37:03 +0000 2023,1660791915758108672,"Di Kongres Fatayat NU, Emak-emak Doakan Prabowo Presiden 2024 - SINDOnews Nasional #Prabowo #PrabowoUnggul https://t.co/0HZnShm88x",0,0,0,0,in,1110932693426954240,1660791915758108672,fathw25,https://twitter.com/fathw25/status/1660791915758108672
Mon May 22 23:37:03 +0000 2023,1660791914357194752,"Ditanya Target Kursi Pemilu Legislatif 2024, Ini Jawaban Partai Gerindra Karimun - Tribun Batam #Prabowo #BangkitBersama https://t.co/Cg4ZzcCcj2",0,0,1,0,in,465423257,1660791914357194752,haelamarie,https://twitter.com/haelamarie/status/1660791914357194752
Mon May 22 23:36:58 +0000 2023,1660791895629660160,Hashim menyinggung tiga hal penting yang dimiliki Prabowo Subianto dibanding dua capres yang saat ini beredar di publik. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo,0,0,0,0,in,1512228386139037700,1660791895629660160,HilmyInsani,https://twitter.com/HilmyInsani/status/1660791895629660160
Mon May 22 23:36:34 +0000 2023,1660791794676928513,Kedekatan Prabowo-Gibran Bikin PDIP Bereaksi https://t.co/oRzEmEIf8n,0,0,0,0,in,456426648,1660791794676928513,merdekadotcom,https://twitter.com/merdekadotcom/status/1660791794676928513
Mon May 22 23:35:33 +0000 2023,1660791540459925506,"Wacana Duetkan Prabowo-Gibran, Gerindra: Perlu Ada Pemikiran dan Kajian Serius https://t.co/ib90zLzm0l",0,0,0,4,in,47596019,1660791540459925506,liputan6dotcom,https://twitter.com/liputan6dotcom/status/1660791540459925506
Mon May 22 23:36:11 +0000 2023,1660791698317017092,Hashim Beber Keunggulan Prabowo Dibanding Capres Lainnya: Pro Olahraga. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo,0,0,0,0,in,1544927157964914688,1660791698317017092,LutviaTarisa,https://twitter.com/LutviaTarisa/status/1660791698317017092
Mon May 22 23:36:30 +0000 2023,1660791779757801478,@alisyarief Nggak usah milih Ganjar atau Prabowo pilih saja Anis Baswedan untuk perubahan kedepan lebih baik Insya Allah menuju ke arah kesejahteraan dan berkeadilan serta kesetaraan.,0,0,1,4,in,1355107394,1660736966944784384,masdar_yanto,https://twitter.com/masdar_yanto/status/1660791779757801478
